10000
9743
         268018287 function calls (268016841 primitive calls) in 140.536 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     89/1    0.000    0.000  140.536  140.536 {built-in method builtins.exec}
        1    0.003    0.003  140.536  140.536 run_train_pbe.py:1(<module>)
        1    0.018    0.018  140.455  140.455 run_train_pbe.py:5(main)
        1    0.988    0.988  140.437  140.437 train_bpe.py:54(train_bpe)
       98    0.001    0.000  134.010    1.367 pool.py:500(_wait_for_updates)
    30/28    0.000    0.000   85.187    3.042 connection.py:390(_recv)
    66/64    8.746    0.133   85.185    1.331 {built-in method posix.read}
       13    0.020    0.002   76.514    5.886 connection.py:246(recv)
        1    0.000    0.000   76.493   76.493 train_bpe.py:129(get_word_frequencies)
        1    0.000    0.000   76.493   76.493 pool.py:738(__exit__)
        1    0.000    0.000   76.489   76.489 pool.py:654(terminate)
       13    0.000    0.000   76.459    5.881 util.py:208(__call__)
        1    0.000    0.000   76.458   76.458 pool.py:680(_terminate_pool)
    15/14    0.000    0.000   76.448    5.461 connection.py:429(_recv_bytes)
        1    0.000    0.000   76.446   76.446 pool.py:671(_help_stuff_finish)
        1    0.005    0.005   76.446   76.446 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.000    0.000   76.441   76.441 threading.py:1016(_bootstrap)
      3/1    0.057    0.019   76.441   76.441 threading.py:1056(_bootstrap_inner)
      3/1    0.000    0.000   76.441   76.441 threading.py:999(run)
        1    0.000    0.000   76.441   76.441 pool.py:573(_handle_results)
        1    0.000    0.000   76.439   76.439 pool.py:527(_handle_tasks)
      199    0.003    0.000   76.212    0.383 connection.py:1122(wait)
      199    0.001    0.000   67.449    0.339 selectors.py:402(select)
      199   67.431    0.339   67.447    0.339 {method 'poll' of 'select.poll' objects}
    15340   43.396    0.003   62.752    0.004 {built-in method builtins.max}
      100    0.000    0.000   57.831    0.578 queues.py:374(empty)
      101    0.001    0.000   57.830    0.573 connection.py:253(poll)
266320304   19.355    0.000   19.355    0.000 train_bpe.py:84(<lambda>)
       98    0.001    0.000   18.350    0.187 pool.py:333(_maintain_pool)
       98    0.001    0.000   18.349    0.187 pool.py:289(_join_exited_workers)
     1188    0.004    0.000   18.349    0.015 process.py:224(exitcode)
        1    0.000    0.000    0.218    0.218 pool.py:369(starmap)
        1    0.000    0.000    0.218    0.218 pool.py:767(get)
       11    0.001    0.000    0.118    0.011 __init__.py:1(<module>)
       15    0.114    0.008    0.114    0.008 {built-in method _pickle.loads}
1203358/1203178    0.111    0.000    0.111    0.000 {built-in method builtins.len}
     1268    0.002    0.000    0.095    0.000 popen_fork.py:24(poll)
     1268    0.036    0.000    0.091    0.000 {built-in method posix.waitpid}
    123/6    0.001    0.000    0.084    0.014 <frozen importlib._bootstrap>:1349(_find_and_load)
    123/6    0.000    0.000    0.084    0.014 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    113/6    0.000    0.000    0.083    0.014 <frozen importlib._bootstrap>:911(_load_unlocked)
     87/6    0.000    0.000    0.083    0.014 <frozen importlib._bootstrap_external>:989(exec_module)
   257/12    0.000    0.000    0.082    0.007 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   361387    0.080    0.000    0.080    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.076    0.076 train_bpe.py:1(<module>)
        1    0.000    0.000    0.043    0.043 cli.py:1(<module>)
     15/8    0.000    0.000    0.043    0.005 {built-in method builtins.__import__}
    48/32    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.035    0.035 version.py:1(<module>)
      101    0.000    0.000    0.034    0.000 connection.py:439(_poll)
        1    0.000    0.000    0.027    0.027 pool.py:305(_repopulate_pool)
        1    0.002    0.002    0.027    0.027 pool.py:314(_repopulate_pool_static)
       12    0.002    0.000    0.022    0.002 process.py:110(start)
       87    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       12    0.001    0.000    0.019    0.002 context.py:279(_Popen)
     1473    0.010    0.000    0.019    0.000 selectors.py:351(register)
       12    0.001    0.000    0.018    0.001 popen_fork.py:15(__init__)
       12    0.001    0.000    0.016    0.001 popen_fork.py:62(_launch)
        1    0.000    0.000    0.016    0.016 _main.py:1(<module>)
  371/367    0.005    0.000    0.015    0.000 {built-in method builtins.__build_class__}
       87    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.004    0.004    0.013    0.013 _regex_core.py:1(<module>)
        1    0.000    0.000    0.013    0.013 context.py:1(<module>)
       12    0.011    0.001    0.012    0.001 {built-in method posix.fork}
       87    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.011    0.006 _adapters.py:1(<module>)
    14398    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.010    0.005 process.py:142(join)
        2    0.000    0.000    0.010    0.005 popen_fork.py:36(wait)
      123    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.010    0.010 reduction.py:1(<module>)
        1    0.000    0.000    0.010    0.010 message.py:1(<module>)
     1473    0.004    0.000    0.009    0.000 selectors.py:234(register)
      103    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      103    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      228    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        2    0.000    0.000    0.007    0.004 utils.py:1(<module>)
      138    0.000    0.000    0.007    0.000 __init__.py:280(_compile)
       28    0.000    0.000    0.006    0.000 __init__.py:226(compile)
       30    0.000    0.000    0.006    0.000 _compiler.py:740(compile)
       12    0.000    0.000    0.006    0.001 pool.py:809(_set)
    10006    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
       87    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.005    0.005 __init__.py:882(version)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
      113    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        2    0.000    0.000    0.004    0.002 abc.py:1(<module>)
       66    0.004    0.000    0.004    0.000 {method 'write' of '_io.BytesIO' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:464(version)
        1    0.000    0.000    0.004    0.004 __init__.py:436(metadata)
        1    0.000    0.000    0.003    0.003 __init__.py:31(message_from_string)
        1    0.000    0.000    0.003    0.003 pool.py:1(<module>)
       98    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       98    0.001    0.000    0.003    0.000 pool.py:284(_get_worker_sentinels)
       30    0.000    0.000    0.003    0.000 _parser.py:969(parse)
     1473    0.001    0.000    0.003    0.000 selectors.py:215(_fileobj_lookup)
      461    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        7    0.001    0.000    0.003    0.000 enum.py:919(_convert_)
    74/30    0.000    0.000    0.003    0.000 _parser.py:452(_parse_sub)
      123    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      467    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    95/32    0.001    0.000    0.003    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.003    0.003 charset.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
1858/1805    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0xa43b40}
        3    0.000    0.000    0.003    0.001 context.py:110(SimpleQueue)
       12    0.000    0.000    0.003    0.000 pool.py:179(Process)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pool.py:345(_setup_queues)
       30    0.000    0.000    0.003    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
     1473    0.001    0.000    0.002    0.000 selectors.py:21(_fileobj_to_fd)
      126    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
      136    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       12    0.002    0.000    0.002    0.000 process.py:80(__init__)
        3    0.000    0.000    0.002    0.001 queues.py:361(__init__)
        1    0.000    0.000    0.002    0.002 process.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
      146    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
        6    0.000    0.000    0.002    0.000 context.py:65(Lock)
        1    0.000    0.000    0.002    0.002 std.py:1(<module>)
   174/30    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
        6    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      113    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        7    0.000    0.000    0.002    0.000 feedparser.py:171(feed)
      174    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2083    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
       27    0.002    0.000    0.002    0.000 {built-in method posix.pipe}
       87    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
     1473    0.001    0.000    0.002    0.000 <string>:1(<lambda>)
        8    0.000    0.000    0.002    0.000 feedparser.py:176(_call_parse)
        8    0.000    0.000    0.002    0.000 feedparser.py:216(_parsegen)
     2352    0.001    0.000    0.002    0.000 process.py:247(sentinel)
        7    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
       41    0.000    0.000    0.002    0.000 {built-in method builtins.next}
     1214    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:856(distribution)
        1    0.000    0.000    0.001    0.001 __init__.py:383(from_name)
       10    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      199    0.001    0.000    0.001    0.000 selectors.py:347(__init__)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     5084    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      146    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       16    0.000    0.000    0.001    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
        5    0.000    0.000    0.001    0.000 queues.py:391(put)
        6    0.000    0.000    0.001    0.000 __init__.py:794(<genexpr>)
       41    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        6    0.000    0.000    0.001    0.000 __init__.py:692(search)
       13    0.001    0.000    0.001    0.000 util.py:189(__init__)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        7    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
        6    0.000    0.000    0.001    0.000 synchronize.py:168(__init__)
       71    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
       15    0.001    0.000    0.001    0.000 __init__.py:243(_releaseLock)
        6    0.001    0.000    0.001    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       12    0.001    0.000    0.001    0.000 process.py:61(_cleanup)
        4    0.000    0.000    0.001    0.000 threading.py:637(wait)
        1    0.000    0.000    0.001    0.001 parser.py:1(<module>)
       12    0.000    0.000    0.001    0.000 util.py:436(_flush_std_streams)
     1473    0.001    0.000    0.001    0.000 {method 'register' of 'select.poll' objects}
     6172    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      199    0.000    0.000    0.001    0.000 selectors.py:202(__exit__)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        3    0.000    0.000    0.001    0.000 threading.py:973(start)
    32/28    0.000    0.000    0.001    0.000 typing.py:392(inner)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
       53    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
        6    0.000    0.000    0.001    0.000 __init__.py:701(lookup)
        6    0.000    0.000    0.001    0.000 __init__.py:707(__init__)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
